title,authors,publish_date,journal_name,doi,citations
New Insights into Samango Monkey Speciation in South Africa,"Desiré L. Dalton, Birthe Linden, Kirsten Wimberger, Lisa Jane Nupen, Adrian S. W. Tordiffe, Peter John Taylor, M. Thabang Madisha, Antoinette Kotze",published 23 Mar 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0117003,64
Pregnancy and Virologic Response to Antiretroviral Therapy in South Africa,"Daniel Westreich, Stephen R. Cole, Shashi Nagar, Mhairi Maskew, Charles van der Horst, Ian Sanne",published 02 Aug 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0022778,22
"Treatment of Cryptococcal Meningitis in KwaZulu-Natal, South Africa","Josephine V. J. Lightowler, Graham S. Cooke, Portia Mutevedzi, Richard J. Lessells, Marie-Louise Newell, Martin Dedicoat",published 07 Jan 2010,PLOS ONE,https://doi.org/10.1371/journal.pone.0008630,23
Abundance of Indo-Pacific bottlenose dolphins (,"O. Alejandra Vargas-Fonseca, Stephen P. Kirkman, W. Chris Oosthuizen, Thibaut Bouveroux, Vic Cockcroft, Danielle S. Conry, Pierre A. Pistorius",published 12 Oct 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0227085,1
Long-Term Coexistence of Rotifer Cryptic Species,"Javier Montero-Pau, Eloisa Ramos-Rodríguez, Manuel Serra, Africa Gómez",published 28 Jun 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0021530,59
Validation and measurement invariance of the Occupational Depression Inventory in South Africa,"Carin Hill, Leon T. de Beer, Renzo Bianchi",published 16 Dec 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0261271,12
Forecasting for the need of dentists and specialists in South Africa until 2030,"Ritika Tiwari, Ahmed Bhayat, Usuf Chikte",published 17 May 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0251238,5
"Nubian Levallois reduction strategies in the Tankwa Karoo, South Africa","Emily Hallinan, Matthew Shaw",published 22 Oct 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0241068,17
Bayesian inference of COVID-19 spreading rates in South Africa,"Rendani Mbuvha, Tshilidzi Marwala",published 05 Aug 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0237126,64
Human resources for nephrology in South Africa: A mixed-methods study,"Muhammed Hassen, Elize Archer, Adriano Pellizzon, Usuf M. E. Chikte, Mogamat Razeen Davids",published 13 Feb 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0228890,13
Disparities in dialysis allocation: An audit from the new South Africa,"Kajiru G. Kilonzo, Erika S. W. Jones, Ikechi G. Okpechi, Nicola Wearne, Zunaid Barday, Charles R. Swanepoel, Karen Yeates, Brian L. Rayner",published 18 Apr 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0176041,30
Correction: The Cost of Voluntary Medical Male Circumcision in South Africa,"Michel Tchuenche, Eurica Palmer, Vibhuti Haté, Ananthy Thambinayagam, Dayanund Loykissoonlal, Emmanuel Njeuhmeli, Steven Forsythe",published 03 Jan 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0169710,3
The Consequences of Precipitation Seasonality for Mediterranean-Ecosystem Vegetation of South Africa,"Michael D. Cramer, M. Timm Hoffman",published 09 Dec 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0144512,22
Correction: New Insights into Samango Monkey Speciation in South Africa,"Desiré L. Dalton, Birthe Linden, Kirsten Wimberger, Lisa Jane Nupen, Adrian S. W. Tordiffe, Peter John Taylor, M. Thabang Madisha, Antoinette Kotze",published 03 Jun 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0129988,2
Pediatric Response to Second-Line Antiretroviral Therapy in South Africa,"Brian C. Zanoni, Henry Sunpath, Margaret E. Feeney",published 20 Nov 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0049591,25
"Increases in Pediatric Antiretroviral Treatment, South Africa 2005–2010","Sandeep D. Patel, Elysia Larson, Thobile Mbengashe, Heidi O’Bra, J. W. Brown, Thurma M. Golman, Jeffrey D. Klausner",published 13 Sep 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0044914,6
The Impact and Cost of Scaling up GeneXpert MTB/RIF in South Africa,"Gesine Meyer-Rath, Kathryn Schnippel, Lawrence Long, William MacLeod, Ian Sanne, Wendy Stevens, Sagie Pillay, Yogan Pillay, Sydney Rosen",published 31 May 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0036966,133
"Carnivoran Remains from the Malapa Hominin Site, South Africa","Brian F. Kuhn, Lars Werdelin, Adam Hartstone-Rose, Rodrigo S. Lacruz, Lee R. Berger",published 03 Nov 2011,PLOS ONE,https://doi.org/10.1371/journal.pone.0026940,18
Marine Biodiversity in South Africa: An Evaluation of Current States of Knowledge,"Charles L. Griffiths, Tamara B. Robinson, Louise Lange, Angela Mead",published 02 Aug 2010,PLOS ONE,https://doi.org/10.1371/journal.pone.0012008,189
"Gender, Migration and HIV in Rural KwaZulu-Natal, South Africa","Carol S. Camlin, Victoria Hosegood, Marie-Louise Newell, Nuala McGrath, Till Bärnighausen, Rachel C. Snow",published 12 Jul 2010,PLOS ONE,https://doi.org/10.1371/journal.pone.0011539,95
Experience of Violence and Socioeconomic Position in South Africa: A National Study,"Katherine Doolan, Rodney Ehrlich, Landon Myer",published 12 Dec 2007,PLOS ONE,https://doi.org/10.1371/journal.pone.0001290,22
"New Findings in Cleavage Sites Variability across Groups, Subtypes and Recombinants of Human Immunodeficiency Virus Type 1","Esther Torrecilla, Teresa Llácer Delicado, África Holguín",published 07 Feb 2014,PLOS ONE,https://doi.org/10.1371/journal.pone.0088099,10
Description of HIV-1 Group M Molecular Epidemiology and Drug Resistance Prevalence in Equatorial Guinea from Migrants in Spain,"Gonzalo Yebra, Miguel de Mulder, África Holguín",published 22 May 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0064293,13
Treatment Response and Mortality among Patients Starting Antiretroviral Therapy with and without Kaposi Sarcoma: A Cohort Study,"Mhairi Maskew, Matthew P. Fox, Gilles van Cutsem, Kathryn Chu, Patrick MacPhail, Andrew Boulle, Matthias Egger, for IeDEA Southern Africa",published 05 Jun 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0064392,38
Signatures of Rapid Evolution in Urban and Rural Transcriptomes of White-Footed Mice (,"Stephen E. Harris, Jason Munshi-South, Craig Obergfell, Rachel O’Neill",published 28 Aug 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0074938,71
"Provenance, modification and use of manganese-rich rocks at Le Moustier (Dordogne, France)","Africa Pitarch Martí, Francesco d’Errico, Alain Turq, Eric Lebraud, Emmanuel Discamps, Brad Gravina",published 17 Jul 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0218568,12
"Missed Opportunities along the Prevention of Mother-to-Child Transmission Services Cascade in South Africa: Uptake, Determinants, and Attributable Risk (the SAPMTCTE)","Selamawit Woldesenbet, Debra Jackson, Carl Lombard, Thu-Ha Dinh, Adrian Puren, Gayle Sherman, Vundli Ramokolo, Tanya Doherty, Mary Mogashoa, Sanjana Bhardwaj, Mickey Chopra, Nathan Shaffer, Yogan Pillay, Ameena Goga, South African PMTCT Evaluation (SAPMCTE) Team",published 06 Jul 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0132425,69
Quaternary rodents of South Africa: A companion guide for cranio-dental identification,"Pierre Linchamps, D. Margaret Avery, Raphaël Cornette, Christiane Denys, Thalassa Matthews, Emmanuelle Stoetzel",published 28 Nov 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0289812,0
Maternal tobacco smoking and childhood obesity in South Africa: A cohort study,"Nomusa Y. Nkomo, Beatrice D. Simo-Kengne, Mduduzi Biyase",published 09 Feb 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0268313,0
Trends in the nephrologist workforce in South Africa (2002–2017) and forecasting for 2030,"Dominic Dzamesi Kumashie, Ritika Tiwari, Muhammed Hassen, Usuf M. E. Chikte, Mogamat Razeen Davids",published 12 Aug 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0255903,7
Molecular diversity and relationships of fig associated nematodes from South Africa,"Meike S. Kruger, Natsumi Kanzaki, Robin M. Giblin-Davis, Jaco M. Greeff",published 10 Aug 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0255451,3
Childcare and depression during the coronavirus pandemic in South Africa: A gendered analysis,Chijioke O. Nwosu,published 06 Aug 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0255183,7
DNA microarray analysis of,"Adebayo Osagie Shittu, Tomiwa Adesoji, Edet Ekpenyong Udo",published 20 Jul 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0237124,3
Monitoring compliance of CITES lion bone exports from South Africa,"Vivienne L. Williams, Peter G. Coals, Marli de Bruyn, Vincent N. Naude, Desiré L. Dalton, Antoinette Kotzé",published 02 Apr 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0249306,11
"Neurodevelopment of HIV-exposed uninfected children in Cape Town, South Africa","Hlengiwe P. Madlala, Landon Myer, Thokozile R. Malaba, Marie-Louise Newell",published 18 Nov 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0242244,9
Implementation fidelity of school oral health programs at a District in South Africa,"Mpho Molete, Aimee Stewart, Jude Igumbor",published 17 Nov 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0241988,3
"Health care access of informal waste recyclers in Johannesburg, South Africa","Jesne Kistan, Vusi Ntlebi, Felix Made, Tahira Kootbodien, Kerry Wilson, Nonhlanhla Tlotleng, Spo Kgalamono, Angela Mathee, Nisha Naicker",published 01 Jul 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0235173,11
"Perceived oral health interventions by medical providers in Gugulethu, South Africa","R. Frederick Lambert, Amy Yu, Catherine Orrell, Jessica E. Haberer",published 26 May 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0233437,0
Readmission and death following hospitalization among people with HIV in South Africa,"Christopher J. Hoffmann, Minja Milovanovic, Cody Cichowitz, Anthony Kinghorn, Neil A. Martinson, Ebrahim Variava",published 03 Jul 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0218902,10
STRETCHing HIV treatment: A replication study of task shifting in South Africa,"Baojiang Chen, Morshed Alam",published 08 Apr 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0206677,4
Creative arts in psychotherapy for traumatized children in South Africa: An evaluation study,"Nadine van Westrhenen, Elzette Fritz, Adri Vermeer, Paul Boelen, Rolf Kleber",published 13 Feb 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0210857,19
The role of public wheat breeding in reducing food insecurity in South Africa,"Lawton Nalley, Bruce Dixon, Petronella Chaminuka, Zwiafhela Naledzani, Matthew James Coale",published 31 Dec 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0209598,12
"Ecological suitability modeling for anthrax in the Kruger National Park, South Africa","Pieter Johan Steenkamp, Henriette van Heerden, Ockert Louis van Schalkwyk",published 29 Jan 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0191704,31
The association between social capital and HIV treatment outcomes in South Africa,"Grace Musanse Mukoswa, Salome Charalambous, Gill Nelson",published 09 Nov 2017,PLOS ONE,https://doi.org/10.1371/journal.pone.0184140,16
Household HIV Testing Uptake among Contacts of TB Patients in South Africa,"Kavindhran Velen, James J. Lewis, Salome Charalambous, Liesl Page-Shipp, Flora Popane, Gavin J. Churchyard, Christopher J. Hoffmann",published 19 May 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0155688,16
Invasive Group B Streptococcal Disease in South Africa: Importance of Surveillance Methodology,"Vanessa Quan, Jennifer R. Verani, Cheryl Cohen, Anne von Gottberg, Susan Meiring, Clare L. Cutland, Stephanie J. Schrag, Shabir A. Madhi",published 07 Apr 2016,PLOS ONE,https://doi.org/10.1371/journal.pone.0152524,17
"Diachronic Change within the Still Bay at Blombos Cave, South Africa","Will Archer, Philipp Gunz, Karen L. van Niekerk, Christopher S. Henshilwood, Shannon P. McPherron",published 02 Jul 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0132428,51
"Incidence, Remission and Mortality of Convulsive Epilepsy in Rural Northeast South Africa","Ryan G. Wagner, Christian Bottomley, Anthony K. Ngugi, Fredrick Ibinda, F. Xavier Gómez-Olivé, Kathleen Kahn, Stephen Tollman, Charles R. Newton, on behalf of the SEEDS Writing Group",published 08 Jun 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0129097,25
The Contribution of Occult Precipitation to Nutrient Deposition on the West Coast of South Africa,"Justine M. Nyaga, Jason C. Neff, Michael D. Cramer",published 27 May 2015,PLOS ONE,https://doi.org/10.1371/journal.pone.0126225,11
"Exploring the Seasonality of Reported Treated Malaria Cases in Mpumalanga, South Africa","Sheetal Prakash Silal, Karen I. Barnes, Gerdalize Kok, Aaron Mabuza, Francesca Little",published 29 Oct 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0076640,23
"Deagrarianisation and Forest Revegetation in a Biodiversity Hotspot on the Wild Coast, South Africa","Ross Shackleton, Charlie Shackleton, Sheona Shackleton, James Gambiza",published 14 Oct 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0076939,70
"Current Integration of Tuberculosis (TB) and HIV Services in South Africa, 2011","Joel C. Chehab, Amanda K. Vilakazi-Nhlapo, Peter Vranken, Annatjie Peters, Jeffrey D. Klausner",published 04 Mar 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0057791,17
What is the Cost of Diagnosis and Management of Drug Resistant Tuberculosis in South Africa?,"Anil Pooran, Elize Pieterson, Malika Davids, Grant Theron, Keertan Dheda",published 18 Jan 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0054587,162
Addison’s Disease Symptoms – A Cross Sectional Study in Urban South Africa,"Ian Louis Ross, Naomi S. Levitt",published 07 Jan 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0053526,23
"Risk Factors of Porcine Cysticercosis in the Eastern Cape Province, South Africa","Rosina Claudia Krecek, Hamish Mohammed, Lynne Margaret Michael, Peter Mullineaux Schantz, Lulama Ntanjana, Liesl Morey, Stephen Rakem Werre, Arve Lee Willingham III",published 24 May 2012,PLOS ONE,https://doi.org/10.1371/journal.pone.0037718,34
"Linkage to HIV Care and Antiretroviral Therapy in Cape Town, South Africa","Katharina Kranzer, Jennifer Zeinecker, Philip Ginsberg, Catherine Orrell, Nosindiso N. Kalawe, Stephen D. Lawn, Linda-Gail Bekker, Robin Wood",published 02 Nov 2010,PLOS ONE,https://doi.org/10.1371/journal.pone.0013801,141
"Possible Brucellosis in an Early Hominin Skeleton from Sterkfontein, South Africa","Ruggero D'Anastasio, Bernhard Zipfel, Jacopo Moggi-Cecchi, Roscoe Stanyon, Luigi Capasso",published 30 Jul 2009,PLOS ONE,https://doi.org/10.1371/journal.pone.0006439,51
Lamivudine monotherapy as a holding regimen for HIV-positive children,"Gabriela Patten, Jonathan Bernheimer, Lee Fairlie, Helena Rabie, Shobna Sawry, Karl Technau, Brian Eley, Mary-Ann Davies, for IeDEA Southern Africa",published 11 Oct 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0205455,4
"Monitoring of Antiretroviral Therapy and Mortality in HIV Programmes in Malawi, South Africa and Zambia: Mathematical Modelling Study","Janne Estill, Matthias Egger, Leigh F. Johnson, Thomas Gsponer, Gilles Wandeler, Mary-Ann Davies, Andrew Boulle, Robin Wood, Daniela Garone, Jeffrey S. A. Stringer, Timothy B. Hallett, Olivia Keiser, for the IeDEA Southern Africa Collaboration",published 28 Feb 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0057611,27
Identifying and Targeting Mortality Disparities: A Framework for Sub-Saharan Africa Using Adult Mortality Data from South Africa,"Benn Sartorius, Kurt Sartorius",published 14 Aug 2013,PLOS ONE,https://doi.org/10.1371/journal.pone.0071437,8
The per-patient costs of HIV services in South Africa: Systematic review and application in the South African HIV Investment Case,"Gesine Meyer-Rath, Craig van Rensburg, Calvin Chiu, Rahma Leuner, Lise Jamieson, Steve Cohen",published 26 Feb 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0210497,47
Male perspectives on intimate partner violence: A qualitative analysis from South Africa,"Krysta A. Pelowich, Tosin Akibu, Jennifer Pellowski, Abigail Hatcher, Dumisani Rebombo, Nicola Christofides, Karen Hampanda",published 16 Apr 2024,PLOS ONE,https://doi.org/10.1371/journal.pone.0298198,0
The dynamic effect of macroeconomic factors on housing prices: Evidence from South Africa,"Thami Innocent Lekhuleni, Godfrey Ndlovu",published 29 Nov 2023,PLOS ONE,https://doi.org/10.1371/journal.pone.0290552,0
Child and adolescent food insecurity in South Africa: A household-level analysis of hunger,"Siluleko Mkhize, Elena Libhaber, Ronel Sewpaul, Priscilla Reddy, Laurel Baldwin-Ragaven",published 28 Dec 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0278191,2
Mobility in informal settlements during a public lockdown: A case study in South Africa,"Yael Borofsky, Isabel Günther",published 22 Dec 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0277465,1
Observed trends and projections of temperature and precipitation in the Olifants River Catchment in South Africa,"Abiodun Morakinyo Adeola, Andries Kruger, Thabo Elias Makgoale, Joel Ondego Botai",published 09 Aug 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0271974,4
An analysis of obstetric practices and outcomes in a deep rural district hospital in South Africa,"Adam Konrad Asghar, Thandaza Cyril Nkabinde, Mergan Naidoo",published 04 Jan 2022,PLOS ONE,https://doi.org/10.1371/journal.pone.0262269,2
Fatality risk and issues of inequity among vulnerable road users in South Africa,"Anesh Sukhai, Rajen Govender, Ashley van Niekerk",published 31 Dec 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0261182,5
Prevalence and factors associated with experience of corporal punishment in public schools in South Africa,"Pinky Mahlangu, Esnat Chirwa, Mercilene Machisa, Yandisa Sikweyiya, Nwabisa Shai, Rachel Jewkes",published 12 Aug 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0254503,12
"A gross margin analysis for Nguni cattle farmers in Limpopo Province, South Africa","Mapule Valencia Nkadimeng, Godswill Makombe, Obvious Mapiye, Cletos Mapiye, Isaac Oluwatayo, Kennedy Dzama, Cedric Mojapelo, Naftali Mollel, Jones Ngambi, Madimetja Human Mautjana",published 24 Jun 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0253657,4
Fast-track treatment initiation counselling in South Africa: A cost-outcomes analysis,"Bruce A. Larson, Sophie J. S. Pascoe, Amy Huber, Lawrence C. Long, Joshua Murphy, Jacqui Miot, Nicole Fraser-Hurt, Matthew P. Fox, Sydney Rosen",published 18 Mar 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0248551,1
Electrocardiographic and echocardiographic abnormalities in urban African people living with HIV in South Africa,"Geert V. T. Roozen, Ruchika Meel, Joyce Peper, William D. F. Venter, Roos E. Barth, Diederick E. Grobbee, Kerstin Klipstein-Grobusch, Alinda G. Vos",published 02 Feb 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0244742,11
Multi-criteria suitability analysis for neglected and underutilised crop species in South Africa,"Hillary Mugiyo, Vimbayi G. P. Chimonyo, Mbulisi Sibanda, Richard Kunz, Luxon Nhamo, Cecelia R. Masemola, Caroline Dalin, Albert T. Modi, Tafadzwa Mabhaudhi",published 19 Jan 2021,PLOS ONE,https://doi.org/10.1371/journal.pone.0244734,21
"Knowledge, practices and seroprevalence of","Nothando Altrecia Shongwe, Charles Byaruhanga, Pierre Dorny, Veronique Dermauw, Daniel Nenene Qekwana",published 18 Dec 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0244055,7
"Acceptability of self- collection for human papillomavirus detection in the Eastern Cape, South Africa","Ongeziwe Taku, Tracy L. Meiring, Inger Gustavsson, Keletso Phohlo, Mirta Garcia-Jardon, Zizipho Z. A. Mbulawa, Charles B. Businge, Ulf Gyllensten, Anna-Lise Williamson",published 10 Nov 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0241781,13
"Amitriptyline prescribing in public sector healthcare facilities in the Western Cape, South Africa","Renier Coetzee, Yasmina Johnson, Johan van Niekerk, Mosedi Namane",published 20 Apr 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0231675,4
"Level and determinants of postpartum adherence to antiretroviral therapy in the Eastern Cape, South Africa","Oladele Vincent Adeniyi, Anthony Idowu Ajayi",published 27 Feb 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0229592,10
"Health shocks, medical insurance and household vulnerability: Evidence from South Africa","Pheeha Morudu, Umakrishnan Kollamparambil",published 07 Feb 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0228034,19
A cross-sectional evaluation of five warfarin anticoagulation services in Uganda and South Africa,"Jerome Roy Semakula, Johannes P. Mouton, Andrea Jorgensen, Claire Hutchinson, Shaazia Allie, Lynn Semakula, Neil French, Mohammed Lamorde, Cheng-Hock Toh, Marc Blockman, Christine Sekaggya-Wiltshire, Catriona Waitt, Munir Pirmohamed, Karen Cohen",published 29 Jan 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0227458,28
"Egg donors’ motivations, experiences, and opinions: A survey of egg donors in South Africa",Donrich Thaldar,published 15 Jan 2020,PLOS ONE,https://doi.org/10.1371/journal.pone.0226603,12
"Prevalence, epidemiology and molecular studies of","Vaneson Moodley, Augustine Gubba, Paramu L. Mafongoya",published 24 Jul 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0220298,8
"Born captive: A survey of the lion breeding, keeping and hunting industries in South Africa","Vivienne L. Williams, Michael J. ‘t Sas-Rolfes",published 28 May 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0217409,35
"Surveillance for incidence and etiology of early-onset neonatal sepsis in Soweto, South Africa","Sithembiso C. Velaphi, Matthew Westercamp, Malefu Moleleki, Tracy Pondo, Ziyaad Dangor, Nicole Wolter, Anne von Gottberg, Nong Shang, Alicia Demirjian, Jonas M. Winchell, Maureen H. Diaz, Firdose Nakwa, Grace Okudo, Jeannette Wadula, Clare Cutland, Stephanie J. Schrag, Shabir A. Madhi",published 10 Apr 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0214077,31
Lifestyle and socio-economic inequalities in diabetes prevalence in South Africa: A decomposition analysis,"Chipo Mutyambizi, Frederik Booysen, Andrew Stokes, Milena Pavlova, Wim Groot",published 30 Jan 2019,PLOS ONE,https://doi.org/10.1371/journal.pone.0211208,53
Hospitalization and post-discharge care in South Africa: A critical event in the continuum of care,"Cody Cichowitz, Rachael Pellegrino, Katlego Motlhaoleng, Neil A. Martinson, Ebrahim Variava, Christopher J. Hoffmann",published 13 Dec 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0208429,11
"The Howiesons Poort lithic sequence of Klipdrift Shelter, southern Cape, South Africa","Katja Douze, Anne Delagnes, Sarah Wurz, Christopher Stuart Henshilwood",published 07 Nov 2018,PLOS ONE,https://doi.org/10.1371/journal.pone.0206238,15
